0,1,2,3
03/20/19 17:48:24.382,13.4,1004.4,175.0
03/20/19 17:48:24.485,11.8,1003.4,174.7
03/20/19 17:48:24.588,11.8,1003.5,174.6
03/20/19 17:48:24.691,13.4,1002.0,174.3
03/20/19 17:48:24.794,12.2,1001.3,174.9
03/20/19 17:48:24.897,12.7,1004.2,174.3
03/20/19 17:48:24.000,12.4,1005.0,173.7
03/20/19 17:48:25.103,12.3,1000.8,172.8
03/20/19 17:48:25.206,11.5,1003.2,175.3
03/20/19 17:48:25.309,12.3,1003.6,175.6
03/20/19 17:48:25.412,10.8,1001.4,174.3
03/20/19 17:48:25.515,13.0,1003.8,174.9
03/20/19 17:48:25.618,11.5,1004.7,174.0
03/20/19 17:48:25.722,13.2,1002.8,174.2
03/20/19 17:48:25.824,13.3,1004.7,174.4
03/20/19 17:48:25.927,12.3,1000.6,174.5
03/20/19 17:48:26.031,13.1,1002.0,173.6
03/20/19 17:48:26.134,12.9,1003.5,174.3
03/20/19 17:48:26.236,11.2,1001.5,173.6
03/20/19 17:48:26.340,12.6,1004.9,174.3
03/20/19 17:48:26.443,11.7,1004.2,175.0
03/20/19 17:48:26.546,13.0,1002.0,173.2
03/20/19 17:48:26.648,13.3,1003.5,174.9
03/20/19 17:48:26.752,11.7,1003.4,174.2
03/20/19 17:48:26.855,12.5,1002.5,173.6
03/20/19 17:48:26.958,11.8,1003.1,174.8
03/20/19 17:48:27.061,12.6,999.6,173.9
03/20/19 17:48:27.164,11.2,1000.2,175.0
03/20/19 17:48:27.267,12.6,1005.8,171.8
03/20/19 17:48:27.370,12.4,1002.5,173.7
03/20/19 17:48:27.473,11.9,1001.7,176.2
03/20/19 17:48:27.576,11.6,1003.3,173.9
03/20/19 17:48:27.679,13.0,1001.9,175.7
03/20/19 17:48:27.783,12.2,1003.0,175.9
03/20/19 17:48:27.885,11.8,1004.1,173.7
03/20/19 17:48:27.988,11.3,1002.1,174.1
03/20/19 17:48:28.091,12.4,1002.0,175.8
03/20/19 17:48:28.195,13.7,1003.2,173.7
03/20/19 17:48:28.297,13.0,1004.5,174.2
03/20/19 17:48:28.401,11.9,1001.9,175.9
03/20/19 17:48:28.504,11.8,1004.9,175.9
03/20/19 17:48:28.607,10.7,1001.6,174.3
03/20/19 17:48:28.709,13.9,1002.9,174.5
03/20/19 17:48:28.813,12.2,1003.0,174.8
03/20/19 17:48:28.916,10.7,1002.3,173.4
03/20/19 17:48:29.019,13.0,1003.5,173.4
03/20/19 17:48:29.122,12.2,1002.0,175.8
03/20/19 17:48:29.225,12.7,1002.0,175.3
03/20/19 17:48:29.328,11.3,1003.7,173.5
03/20/19 17:48:29.432,12.9,1003.1,173.5
03/20/19 17:48:29.534,12.9,1003.9,174.4
03/20/19 17:48:29.637,12.5,1001.4,173.9
03/20/19 17:48:29.740,11.8,1001.3,173.1
03/20/19 17:48:29.844,13.0,1003.5,175.7
03/20/19 17:48:29.946,9.5,1003.8,177.0
03/20/19 17:48:30.049,12.1,1003.9,172.5
03/20/19 17:48:30.153,10.3,1004.4,176.1
03/20/19 17:48:30.256,11.9,1004.4,174.2
03/20/19 17:48:30.358,12.8,1005.4,173.7
03/20/19 17:48:30.462,12.3,1005.1,175.3
03/20/19 17:48:30.565,13.7,1003.7,175.7
03/20/19 17:48:30.668,13.0,1002.8,174.5
03/20/19 17:48:30.771,12.9,1009.2,177.7
03/20/19 17:48:30.874,13.8,1004.9,175.9
03/20/19 17:48:30.977,12.6,1003.0,176.0
03/20/19 17:48:31.081,10.2,1002.7,174.6
03/20/19 17:48:31.183,17.0,998.4,181.5
03/20/19 17:48:31.286,16.9,1001.3,175.1
03/20/19 17:48:31.389,10.3,1002.5,172.6
03/20/19 17:48:31.493,12.9,1001.7,174.5
03/20/19 17:48:31.595,13.2,1004.5,174.9
03/20/19 17:48:31.698,12.6,1003.5,173.7
03/20/19 17:48:31.801,12.8,1003.5,174.8
03/20/19 17:48:31.905,11.7,1001.9,174.6
03/20/19 17:48:32.007,12.8,1003.2,173.5
03/20/19 17:48:32.110,11.8,1002.7,175.5
03/20/19 17:48:32.214,12.5,1004.6,173.4
03/20/19 17:48:32.317,13.2,1001.9,176.4
03/20/19 17:48:32.419,14.2,1003.2,174.4
03/20/19 17:48:32.522,13.1,1006.0,174.9
03/20/19 17:48:32.626,12.9,1001.9,174.2
03/20/19 17:48:32.729,11.7,1001.9,173.2
03/20/19 17:48:32.831,12.6,1003.6,174.0
03/20/19 17:48:32.935,12.2,1000.9,175.3
03/20/19 17:48:33.038,13.5,1002.8,172.1
03/20/19 17:48:33.141,11.8,1004.0,173.3
03/20/19 17:48:33.244,11.3,1000.7,174.2
03/20/19 17:48:33.347,13.9,1003.8,171.9
03/20/19 17:48:33.450,12.6,1002.0,173.1
03/20/19 17:48:33.554,12.7,1001.4,174.6
03/20/19 17:48:33.656,14.3,1002.4,174.2
03/20/19 17:48:33.759,13.6,1002.7,174.7
03/20/19 17:48:33.863,12.9,1002.2,176.4
03/20/19 17:48:33.966,13.6,1002.5,174.5
03/20/19 17:48:34.068,11.2,1002.7,175.7
03/20/19 17:48:34.172,12.6,1004.7,173.5
03/20/19 17:48:34.275,10.8,1000.9,173.1
03/20/19 17:48:34.378,11.4,1000.5,173.9
03/20/19 17:48:34.481,12.1,1003.5,173.9
03/20/19 17:48:34.584,12.7,1001.4,174.2
03/20/19 17:48:34.687,12.0,1001.7,172.9
03/20/19 17:48:34.790,12.4,1004.7,174.0
03/20/19 17:48:34.893,13.1,998.1,174.5
03/20/19 17:48:34.996,12.3,1001.1,172.8
03/20/19 17:48:35.099,12.7,1002.4,175.5
03/20/19 17:48:35.202,13.4,1003.1,173.0
03/20/19 17:48:35.305,11.8,1001.9,172.9
03/20/19 17:48:35.408,13.5,1001.4,174.3
03/20/19 17:48:35.511,12.5,1002.9,173.9
03/20/19 17:48:35.614,13.4,1003.5,174.5
03/20/19 17:48:35.717,13.3,1002.1,174.8
03/20/19 17:48:35.820,12.9,1000.8,173.0
03/20/19 17:48:35.923,12.5,1002.8,173.6
03/20/19 17:48:36.027,121.6,994.5,193.0
03/20/19 17:48:36.129,-115.2,1003.0,179.5
03/20/19 17:48:36.232,12.8,1003.6,174.4
03/20/19 17:48:36.335,13.8,1002.8,173.6
03/20/19 17:48:36.439,12.4,1001.4,171.8
03/20/19 17:48:36.541,12.4,1002.7,172.0
03/20/19 17:48:36.644,-18.7,1005.6,183.4
03/20/19 17:48:36.748,11.8,1000.3,172.4
03/20/19 17:48:36.851,13.9,1004.1,174.3
03/20/19 17:48:36.953,21.4,1001.6,177.4
03/20/19 17:48:37.057,18.5,1037.4,38.1
03/20/19 17:48:37.160,-35.7,995.0,196.5
03/20/19 17:48:37.263,-42.3,995.3,204.3
03/20/19 17:48:37.365,3.9,1012.4,106.6
03/20/19 17:48:37.469,92.5,1005.0,199.8
03/20/19 17:48:37.572,42.9,1012.0,196.7
03/20/19 17:48:37.675,9.9,1003.8,175.2
03/20/19 17:48:37.778,9.5,1004.7,173.4
03/20/19 17:48:37.881,9.4,1002.8,174.5
03/20/19 17:48:37.984,9.5,1004.7,172.4
03/20/19 17:48:38.087,11.0,1001.4,172.5
03/20/19 17:48:38.190,9.3,1002.1,172.0
03/20/19 17:48:38.293,9.4,1004.9,173.4
03/20/19 17:48:38.396,10.3,1003.5,174.9
03/20/19 17:48:38.500,9.3,1004.4,173.2
03/20/19 17:48:38.602,10.1,1007.0,173.6
03/20/19 17:48:38.705,9.8,1002.9,173.7
03/20/19 17:48:38.809,9.3,1003.5,173.4
03/20/19 17:48:38.912,11.0,1003.2,172.5
03/20/19 17:48:39.014,9.8,1003.0,174.0
03/20/19 17:48:39.118,11.9,1003.6,173.5
03/20/19 17:48:39.221,12.0,1003.3,174.6
03/20/19 17:48:39.324,9.8,1003.4,172.9
03/20/19 17:48:39.427,10.6,1004.8,172.8
03/20/19 17:48:39.530,10.9,1001.6,172.9
03/20/19 17:48:39.633,10.2,1001.9,172.3
