RTC: 07/14/19 14:27:39.961, 268.97, -5.42, 4.13,332.49, 16.14, 26.55,64.39, 22.23, 29.79
RTC: 07/14/19 14:27:40.062, 268.63, -6.39, 4.60,331.72, 13.92, 18.88,63.98, 20.89, 22.73
RTC: 07/14/19 14:27:40.163, 268.54, -7.11, 4.79,330.08, 11.88, 12.80,62.37, 19.44, 16.97
RTC: 07/14/19 14:27:40.264, 268.53, -7.67, 5.29,328.38, 9.13, 7.06,60.45, 17.53, 11.19
RTC: 07/14/19 14:27:40.364, 268.52, -8.19, 5.77,326.99, 6.57, 2.23,58.84, 15.76, 6.30
RTC: 07/14/19 14:27:40.466, 268.43, -8.66, 6.17,325.92, 4.62, -1.61,57.69, 14.46, 2.45
RTC: 07/14/19 14:27:40.566, 268.37, -8.96, 6.59,324.95, 2.83, -4.73,56.61, 13.25, -0.84
RTC: 07/14/19 14:27:40.667, 268.27, -9.33, 7.05,323.98, 1.27, -7.22,55.58, 12.34, -3.47
RTC: 07/14/19 14:27:40.768, 268.06, -9.63, 7.24,323.19, 0.42, -9.81,54.92, 11.86, -6.06
RTC: 07/14/19 14:27:40.869, 267.99, -9.73, 6.98,322.29, 0.65, -10.66,54.13, 11.98, -6.83
RTC: 07/14/19 14:27:40.970, 268.02, -9.66, 7.00,321.62, 0.63, -10.56,53.41, 11.99, -6.94
RTC: 07/14/19 14:27:41.071, 268.04, -9.62, 6.96,321.07, 0.65, -10.60,52.83, 11.99, -7.10
RTC: 07/14/19 14:27:41.171, 268.05, -9.59, 7.00,320.58, 0.62, -10.57,52.31, 12.00, -7.23
RTC: 07/14/19 14:27:41.272, 268.09, -9.59, 7.02,320.18, 0.53, -10.54,51.86, 11.95, -7.30
RTC: 07/14/19 14:27:41.373, 268.17, -9.61, 6.96,319.85, 0.66, -10.20,51.45, 12.06, -6.99
RTC: 07/14/19 14:27:41.474, 268.14, -9.71, 6.78,319.36, 1.85, -7.52,51.08, 13.21, -4.19
RTC: 07/14/19 14:27:41.575, 267.98, -9.62, 6.25,318.93, 4.76, -1.72,51.07, 15.65, 1.88
RTC: 07/14/19 14:27:41.676, 267.94, -9.21, 5.44,319.46, 8.06, 4.51,51.98, 18.01, 8.47
RTC: 07/14/19 14:27:41.777, 267.99, -8.61, 4.72,320.80, 10.92, 10.14,53.57, 19.85, 14.35
RTC: 07/14/19 14:27:41.877, 268.18, -7.82, 3.99,323.10, 13.31, 16.76,55.94, 21.03, 21.13
RTC: 07/14/19 14:27:41.978, 268.60, -6.57, 2.96,325.87, 16.28, 22.82,58.50, 22.28, 27.05
RTC: 07/14/19 14:27:42.079, 268.98, -5.77, 2.95,328.18, 16.94, 26.46,60.30, 22.39, 30.17
RTC: 07/14/19 14:27:42.180, 269.13, -4.74, 2.61,330.21, 18.61, 30.98,62.08, 23.16, 34.12
RTC: 07/14/19 14:27:42.281, 269.21, -4.39, 2.66,331.43, 18.88, 32.24,63.16, 23.26, 35.11
RTC: 07/14/19 14:27:42.382, 269.20, -4.37, 2.75,332.36, 18.71, 32.28,64.08, 23.11, 35.16
RTC: 07/14/19 14:27:42.483, 269.14, -4.78, 2.99,332.84, 18.29, 30.61,64.71, 23.06, 33.82
RTC: 07/14/19 14:27:42.583, 268.95, -5.48, 3.24,332.72, 17.59, 27.27,64.92, 22.88, 31.03
RTC: 07/14/19 14:27:42.684, 268.62, -6.43, 3.56,331.20, 15.59, 20.86,63.78, 21.67, 25.22
RTC: 07/14/19 14:27:42.785, 268.51, -7.33, 3.98,329.14, 12.70, 14.07,61.68, 19.73, 18.75
RTC: 07/14/19 14:27:42.886, 268.48, -7.85, 4.48,327.64, 9.91, 7.95,59.96, 17.74, 12.57
RTC: 07/14/19 14:27:42.987, 268.54, -8.30, 5.03,326.63, 7.01, 2.29,58.61, 15.64, 6.80
RTC: 07/14/19 14:27:43.088, 268.48, -8.76, 5.60,325.55, 4.80, -2.14,57.37, 14.24, 2.26
RTC: 07/14/19 14:27:43.189, 268.42, -9.17, 6.05,324.75, 3.18, -5.59,56.47, 13.28, -1.26
RTC: 07/14/19 14:27:43.290, 268.28, -9.48, 6.38,323.75, 1.80, -8.31,55.47, 12.42, -4.08
RTC: 07/14/19 14:27:43.390, 268.09, -9.74, 6.68,322.96, 0.78, -10.89,54.76, 11.85, -6.76
RTC: 07/14/19 14:27:43.491, 268.00, -9.96, 6.58,322.01, 0.57, -11.91,53.89, 11.74, -7.72
RTC: 07/14/19 14:27:43.592, 268.02, -9.90, 6.45,321.34, 0.77, -12.01,53.21, 11.84, -7.92
RTC: 07/14/19 14:27:43.693, 268.01, -9.81, 6.47,320.76, 0.74, -12.02,52.62, 11.83, -8.11
RTC: 07/14/19 14:27:43.794, 268.02, -9.75, 6.50,320.29, 0.67, -12.03,52.12, 11.77, -8.29
RTC: 07/14/19 14:27:43.895, 268.07, -9.70, 6.52,319.85, 0.66, -11.97,51.63, 11.77, -8.38
RTC: 07/14/19 14:27:43.995, 268.21, -9.61, 6.56,319.53, 0.80, -11.40,51.15, 11.92, -8.00
RTC: 07/14/19 14:27:44.096, 268.20, -9.74, 6.58,318.93, 1.42, -9.36,50.58, 12.67, -5.98
RTC: 07/14/19 14:27:44.197, 268.15, -9.62, 5.85,318.42, 3.81, -5.36,50.37, 14.44, -1.65
RTC: 07/14/19 14:27:44.298, 268.09, -9.37, 5.39,318.53, 6.36, -0.95,50.77, 16.46, 2.94
RTC: 07/14/19 14:27:44.398, 268.09, -9.07, 4.88,319.37, 8.97, 4.19,51.89, 18.42, 8.38
RTC: 07/14/19 14:27:44.500, 268.21, -8.56, 4.50,320.71, 11.33, 9.23,53.33, 20.08, 13.50
RTC: 07/14/19 14:27:44.600, 268.31, -8.03, 4.19,322.38, 13.45, 14.25,55.08, 21.51, 18.57
RTC: 07/14/19 14:27:44.701, 268.47, -7.40, 3.84,324.21, 15.25, 18.56,56.88, 22.56, 22.82
RTC: 07/14/19 14:27:44.802, 268.66, -6.75, 3.61,326.22, 16.69, 22.10,58.74, 23.32, 26.18
RTC: 07/14/19 14:27:44.903, 268.88, -6.21, 3.57,328.12, 17.32, 25.59,60.38, 23.52, 29.40
RTC: 07/14/19 14:27:45.004, 268.99, -5.54, 3.26,329.49, 17.95, 28.96,61.59, 23.48, 32.45
RTC: 07/14/19 14:27:45.105, 269.00, -5.03, 2.79,330.41, 18.51, 30.52,62.48, 23.34, 33.87
RTC: 07/14/19 14:27:45.205, 268.98, -5.16, 2.82,331.16, 18.30, 30.05,63.30, 23.17, 33.57
RTC: 07/14/19 14:27:45.306, 268.83, -5.75, 3.16,331.28, 17.51, 27.34,63.66, 22.93, 31.28
RTC: 07/14/19 14:27:45.407, 268.72, -6.61, 3.15,330.21, 15.31, 20.58,62.75, 21.18, 25.17
RTC: 07/14/19 14:27:45.508, 268.73, -7.36, 3.33,328.69, 12.46, 12.74,61.09, 18.98, 17.70
RTC: 07/14/19 14:27:45.609, 268.65, -7.84, 3.62,327.41, 9.35, 6.56,59.64, 16.48, 11.57
RTC: 07/14/19 14:27:45.710, 268.66, -8.35, 3.94,326.05, 6.10, 1.42,57.98, 13.90, 6.44
RTC: 07/14/19 14:27:45.810, 268.63, -8.84, 4.30,325.13, 4.11, -2.28,56.90, 12.55, 2.80
RTC: 07/14/19 14:27:45.911, 268.57, -9.09, 4.70,324.53, 2.71, -5.20,56.21, 11.68, -0.24
RTC: 07/14/19 14:27:46.012, 268.50, -9.30, 5.02,323.60, 1.83, -8.02,55.24, 11.26, -3.23
RTC: 07/14/19 14:27:46.113, 268.37, -9.43, 5.44,322.79, 0.93, -9.87,54.43, 10.83, -5.35
RTC: 07/14/19 14:27:46.214, 268.33, -9.64, 5.50,321.97, 0.92, -10.39,53.65, 11.06, -5.86
RTC: 07/14/19 14:27:46.315, 268.35, -9.58, 5.54,321.36, 0.99, -10.36,53.01, 11.17, -6.02
RTC: 07/14/19 14:27:46.416, 268.36, -9.57, 5.63,320.84, 0.97, -10.42,52.46, 11.25, -6.23
RTC: 07/14/19 14:27:46.517, 268.41, -9.54, 5.70,320.41, 0.85, -10.41,51.95, 11.20, -6.38
