,Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
137,2019-10-22T18:00:59Z, 81.70,-49.20,79.14,0.00,0.60,0.00
138,2019-10-22T18:01:00Z, 81.70,-49.21,79.14,0.00,0.60,0.00
139,2019-10-22T18:01:01Z, 81.70,-49.21,79.13,0.00,0.60,0.00
140,2019-10-22T18:01:02Z, 81.70,-49.22,79.14,0.00,0.60,0.00
141,2019-10-22T18:01:03Z, 81.70,-49.23,79.14,0.00,0.60,0.00
142,2019-10-22T18:01:04Z, 81.69,-49.25,79.16,0.00,0.60,0.00
143,2019-10-22T18:01:05Z, 81.68,-49.27,79.18,0.00,0.60,0.00
144,2019-10-22T18:01:06Z, 81.68,-49.29,79.18,0.00,0.60,0.00
145,2019-10-22T18:01:07Z, 81.66,-49.33,79.22,0.00,0.60,0.00
146,2019-10-22T18:01:08Z, 81.65,-49.36,79.23,0.00,0.60,0.00
147,2019-10-22T18:01:10Z, 81.65,-49.37,79.24,0.00,0.60,0.00
148,2019-10-22T18:01:11Z, 81.64,-49.39,79.25,0.00,0.60,0.00
149,2019-10-22T18:01:11Z, 81.64,-49.37,79.26,0.00,0.60,0.00
150,2019-10-22T18:01:12Z, 81.64,-49.37,79.26,0.00,0.60,0.00
151,2019-10-22T18:01:13Z, 81.64,-49.39,79.27,0.00,0.60,0.00
152,2019-10-22T18:01:14Z, 81.62,-49.41,79.29,0.00,0.60,0.00
153,2019-10-22T18:01:15Z, 81.63,-49.38,79.27,0.00,0.60,0.00
154,2019-10-22T18:01:16Z, 81.64,-49.38,79.27,0.00,0.60,0.00
155,2019-10-22T18:01:17Z, 81.64,-49.37,79.26,0.00,0.60,0.00
156,2019-10-22T18:01:18Z, 81.64,-49.37,79.26,0.00,0.60,0.00
157,2019-10-22T18:01:20Z, 81.65,-49.39,79.27,0.00,0.60,0.00
158,2019-10-22T18:01:21Z, 81.64,-49.41,79.28,0.00,0.60,0.00
159,2019-10-22T18:01:22Z, 81.64,-49.40,79.29,0.00,0.60,0.00
160,2019-10-22T18:01:23Z, 81.64,-49.41,79.29,0.00,0.60,0.00
161,2019-10-22T18:01:24Z, 81.65,-49.40,79.28,0.00,0.60,0.00
162,2019-10-22T18:01:25Z, 81.66,-49.38,79.26,0.00,0.60,0.00
163,2019-10-22T18:01:26Z, 81.66,-49.38,79.26,0.00,0.60,0.00
164,2019-10-22T18:01:27Z, 81.66,-49.40,79.27,0.00,0.60,0.00
165,2019-10-22T18:01:28Z, 81.67,-49.37,79.25,0.00,0.60,0.00
166,2019-10-22T18:01:29Z, 81.67,-49.40,79.26,0.00,0.60,0.00
167,2019-10-22T18:01:30Z, 81.66,-49.40,79.26,0.00,0.60,0.00
168,2019-10-22T18:01:32Z, 81.65,-49.40,79.27,0.00,0.60,0.00
169,2019-10-22T18:01:33Z, 81.66,-49.40,79.26,0.00,0.60,0.00
170,2019-10-22T18:01:34Z, 81.68,-49.37,79.24,0.00,0.60,0.00
171,2019-10-22T18:01:35Z, 81.66,-49.40,79.26,0.00,0.60,0.00
172,2019-10-22T18:01:36Z, 81.67,-49.42,79.26,0.00,0.60,0.00
173,2019-10-22T18:01:37Z, 81.68,-49.42,79.25,0.00,0.60,0.00
174,2019-10-22T18:01:38Z, 81.67,-49.42,79.27,0.00,0.60,0.00
175,2019-10-22T18:01:39Z, 81.67,-49.40,79.27,0.00,0.60,0.00
176,2019-10-22T18:01:40Z, 81.71,-49.38,79.23,0.00,0.60,0.00
177,2019-10-22T18:01:41Z, 81.73,-49.38,79.22,0.00,0.60,0.00
178,2019-10-22T18:01:42Z, 81.71,-49.36,79.23,0.00,0.60,0.00
179,2019-10-22T18:01:43Z, 81.73,-49.35,79.21,0.00,0.60,0.00
180,2019-10-22T18:01:44Z, 81.76,-49.31,79.18,0.00,0.60,0.00
181,2019-10-22T18:01:45Z, 81.77,-49.26,79.16,0.00,0.60,0.00
182,2019-10-22T18:01:46Z, 81.78,-49.23,79.15,0.00,0.60,0.00
183,2019-10-22T18:01:47Z, 81.78,-49.23,79.14,0.00,0.60,0.00
