58:29.6,-324.1,-539.8,707.1,40.8,-7.7,-82.5,-6.2,-25.8,-23.1,42.18,-32.14,6.72,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.7,-248.8,-501,815.3,65.4,199.2,-34.9,-4.8,-22.4,-26.6,49.78,-27.46,15.6,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.8,-611,-223,735.9,93.9,159,-20.5,9,-17.1,-29.6,55.84,-18.54,37.46,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.9,-754.2,-75.6,650,48.9,125.9,-1,19.1,-11.1,-29.3,62.88,-8.22,49.5,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.0,-844.3,-191.1,544.7,6.6,23.1,1.5,25.2,-9.3,-26.7,65.1,-6.56,56.36,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.1,-792.1,-190,479.4,5.7,-10.6,-3.4,24.6,-9.9,-27.3,65.66,-8.82,56.9,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.2,-764.3,-72.2,532.3,-17.2,16.6,7.3,24.2,-9.2,-26.9,66.16,-7.62,55.52,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.3,-862.2,-179,560.2,-35.4,-7.3,22.4,26,-10.5,-25.2,62.92,-7.58,55.94,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.4,-806.2,-96.8,522.1,-54.8,-32.3,34.2,25.8,-12,-24.6,57.54,-7.78,55.62,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.5,-760,-304.4,621.6,-68.2,-105,31.9,23.3,-14.1,-24.8,49.62,-10.64,50.6,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.6,-516.2,-305.7,751.6,-39.5,-108.5,16.5,16.4,-16.2,-27.6,44.28,-17.3,38.68,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.7,-479.3,-247.1,869.3,-37.4,-73.3,18.9,9.6,-17.7,-28.8,41.7,-16.52,27.26,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.8,-298.8,-241.6,812.2,-32.3,-44.6,30.7,5.6,-19.8,-28.8,38.02,-16.3,21.42,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:30.9,-392.5,-321.9,920,-20.3,-63.4,30.1,4.7,-20.6,-27.9,33.52,-17.66,19.96,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:31.0,-285.9,-316.7,895.2,-12.7,-52,29.7,1.8,-21.9,-27.8,30.92,-19.5,14.48,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:31.1,-171.1,-333.2,809.8,-23,-42.2,40.2,0.5,-21.9,-27.6,26.9,-19.76,13.24,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:31.2,-198.4,-553.9,872.5,-45.7,-5.7,19,2.1,-23.1,-26.3,23.98,-24.74,10.78,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:31.3,-654,-684,1277.5,-23.6,69.9,10.6,3.3,-27,-21.8,22.82,-32.8,13.52,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:31.4,-420.4,-438.4,769.8,-13.3,72.6,-10.3,8.3,-28.7,-17.9,22.56,-31.64,21.36,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:31.5,-886,-720.1,396.4,35.8,-93.9,0.3,11.4,-28.2,-16.7,20.68,-29.26,28.1,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:31.6,-203.9,-258.1,926.1,33.1,-100.9,20.6,0,-23.3,-25.1,23.46,-24.84,8.1,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
